"epoch","BCE 100 - _step","BCE 100 - _step__MIN","BCE 100 - _step__MAX","train/loss","BCE 100 - train/loss__MIN","BCE 100 - train/loss__MAX"
"50","554.5","550","559","0.1827801987528801","0.16914671659469604","0.19828860461711884"
"51","565.5","561","570","0.18114914149045944","0.17480286955833435","0.1911347210407257"
"52","576.5","572","581","0.17877429872751235","0.16939079761505127","0.19262388348579407"
"53","587.5","583","592","0.17773299664258957","0.16792097687721252","0.18724575638771057"
"54","598.5","594","603","0.17559462934732437","0.15938758850097656","0.19555482268333435"
"55","609.5","605","614","0.17498181909322738","0.16510672867298126","0.19765843451023102"
"56","620.5","616","625","0.17560289800167084","0.16535507142543793","0.19050700962543488"
"57","631.5","627","636","0.17341590523719788","0.1608869433403015","0.1859113723039627"
"58","642.5","638","647","0.1716049924492836","0.15326061844825745","0.1870962232351303"
"59","653.5","649","658","0.17071741819381714","0.16015268862247467","0.17983664572238922"
"60","664.5","660","669","0.1684630334377289","0.14837390184402466","0.18562722206115723"
"61","675.5","671","680","0.16744015812873841","0.15030668675899506","0.18269434571266174"
"62","686.5","682","691","0.16585203260183334","0.15702734887599945","0.18733446300029755"
"63","697.5","693","702","0.16335564255714416","0.15818347036838531","0.17277494072914124"
"64","708.5","704","713","0.16200873553752898","0.15238052606582642","0.17452175915241241"
"65","719.5","715","724","0.16087726950645448","0.15374299883842468","0.16973567008972168"
"66","730.5","726","735","0.1610888123512268","0.15503545105457306","0.17396295070648193"
"67","741.5","737","746","0.15997665971517563","0.14144058525562286","0.176615908741951"
"68","752.5","748","757","0.15770102441310882","0.15276560187339783","0.166521817445755"
"69","763.5","759","768","0.1562160298228264","0.14338304102420807","0.17542974650859833"
"70","774.5","770","779","0.15495019853115083","0.14392830431461334","0.16286416351795197"
"71","785.5","781","790","0.1540386363863945","0.1376505345106125","0.1704048365354538"
"72","796.5","792","801","0.15229964405298232","0.14192521572113037","0.16478605568408966"
"73","807.5","803","812","0.1505747213959694","0.14513540267944336","0.1584540754556656"
"74","818.5","814","823","0.14992104470729828","0.14179430902004242","0.1590850055217743"
"75","829.5","825","834","0.14863541722297668","0.13489502668380737","0.16441133618354797"
"76","840.5","836","845","0.1468453973531723","0.13569363951683044","0.15548816323280334"
"77","851.5","847","856","0.1460649475455284","0.13471265137195587","0.15270553529262543"
"78","862.5","858","867","0.14528394490480423","0.13608792424201965","0.16135813295841217"
"79","873.5","869","878","0.144305419921875","0.12765328586101532","0.15276208519935608"
