model,split,RMSE,repetition,date,isintense
sde_unet_small,0,4.637997150421143,1,20191019,0
sde_unet_small,0,5.9892449378967285,1,20180530,0
sde_unet_small,0,5.848816871643066,1,20200604,1
sde_unet_small,0,3.4539496898651123,1,20200510,0
sde_unet_small,0,8.07953929901123,1,20240330,1
sde_unet_small,0,4.414248466491699,1,20180720,0
sde_unet_small,0,2.7995336055755615,1,20221223,1
sde_unet_small,0,28.75878143310547,1,20211004,1
sde_unet_small,0,8.968867301940918,1,20230827,1
sde_unet_small,0,1.7564787864685059,1,20200419,0
sde_unet_small,0,8.853911399841309,1,20200511,1
sde_unet_small,0,1.5518637895584106,1,20210412,0
sde_unet_small,0,2.648265838623047,1,20211116,0
sde_unet_small,0,2.3342554569244385,1,20210823,0
sde_unet_small,0,8.760385513305664,1,20210511,1
sde_unet_small,0,2.1602747440338135,1,20200227,0
sde_unet_small,0,9.142967224121094,1,20190610,1
sde_unet_small,0,2.0719895362854004,1,20210605,0
sde_unet_small,0,7.966519355773926,1,20240227,1
sde_unet_small,0,2.748737096786499,1,20210622,0
sde_unet_small,0,15.304736137390137,1,20191123,1
sde_unet_small,0,9.406576156616211,1,20190715,1
sde_unet_small,0,6.2269606590271,1,20190404,1
sde_unet_small,0,3.1268911361694336,1,20220506,0
sde_unet_small,0,3.936293601989746,1,20190622,0
sde_unet_small,0,5.1651291847229,1,20240210,1
sde_unet_small,0,1.9439600706100464,1,20200730,0
sde_unet_small,0,2.2452845573425293,1,20210206,0
sde_unet_small,0,7.8703508377075195,1,20190807,1
sde_unet_small,0,3.402437925338745,1,20190910,0
sde_unet_small,0,1.7394671440124512,1,20211031,0
sde_unet_small,0,7.038588047027588,1,20190426,1
sde_unet_small,0,5.30593204498291,1,20231201,1
sde_unet_small,0,12.727118492126465,1,20181106,1
sde_unet_small,0,6.233896732330322,1,20220423,1
sde_unet_small,0,12.930582046508789,1,20200829,1
sde_unet_small,0,3.8854761123657227,1,20180913,0
sde_unet_small,0,5.419671535491943,1,20190812,0
sde_unet_small,0,4.332314968109131,1,20190201,1
sde_unet_small,0,3.161618947982788,1,20220523,0
sde_unet_small,0,6.043803691864014,1,20200516,0
sde_unet_small,0,3.8731935024261475,1,20210207,0
sde_unet_small,0,3.463656187057495,1,20210629,0
sde_unet_small,0,5.071002006530762,1,20240209,1
sde_unet_small,0,5.176967144012451,1,20240331,1
sde_unet_small,0,2.6335737705230713,1,20180711,0
sde_unet_small,0,7.872679233551025,1,20200830,1
sde_unet_small,0,4.426005840301514,1,20210724,0
sde_unet_small,0,10.576043128967285,1,20231020,1
sde_unet_small,0,3.522397518157959,1,20181030,0
sde_unet_small,0,44.25156021118164,1,20201002,1
sde_unet_small,0,3.794971227645874,1,20190703,0
sde_unet_small,0,3.4476709365844727,1,20231211,1
sde_unet_small,0,1.852498173713684,1,20200702,0
sde_unet_small,0,6.51432466506958,1,20181105,0
